"brood_ID" "alias"
"1" "2006_A_1" "brood_1"
"2" "2006_A_101" "brood_2"
"3" "2006_A_102" "brood_3"
"4" "2006_A_103" "brood_4"
"5" "2006_A_104" "brood_5"
"6" "2006_A_105" "brood_6"
"7" "2006_A_2" "brood_7"
"8" "2006_A_3" "brood_8"
"9" "2006_A_4" "brood_9"
"10" "2006_A_5" "brood_10"
"11" "2006_A_7" "brood_11"
"12" "2006_B_1" "brood_12"
"13" "2006_B_101" "brood_13"
"14" "2006_B_2" "brood_14"
"15" "2006_B_207" "brood_15"
"16" "2006_B_208" "brood_16"
"17" "2006_B_209" "brood_17"
"18" "2006_B_3" "brood_18"
"19" "2006_B_4" "brood_19"
"20" "2006_B_5" "brood_20"
"21" "2006_B_6" "brood_21"
"22" "2006_B_7" "brood_22"
"23" "2006_B_8" "brood_23"
"24" "2006_B_9" "brood_24"
"25" "2006_C_1" "brood_25"
"26" "2006_C_10" "brood_26"
"27" "2006_C_105" "brood_27"
"28" "2006_C_106" "brood_28"
"29" "2006_C_107" "brood_29"
"30" "2006_C_108" "brood_30"
"31" "2006_C_11" "brood_31"
"32" "2006_C_110" "brood_32"
"33" "2006_C_111" "brood_33"
"34" "2006_C_112" "brood_34"
"35" "2006_C_113" "brood_35"
"36" "2006_C_12" "brood_36"
"37" "2006_C_13" "brood_37"
"38" "2006_C_15" "brood_38"
"39" "2006_C_16" "brood_39"
"40" "2006_C_17" "brood_40"
"41" "2006_C_18" "brood_41"
"42" "2006_C_19" "brood_42"
"43" "2006_C_20" "brood_43"
"44" "2006_C_201" "brood_44"
"45" "2006_C_206" "brood_45"
"46" "2006_C_21" "brood_46"
"47" "2006_C_210" "brood_47"
"48" "2006_C_211" "brood_48"
"49" "2006_C_212" "brood_49"
"50" "2006_C_213" "brood_50"
"51" "2006_C_214" "brood_51"
"52" "2006_C_22" "brood_52"
"53" "2006_C_23" "brood_53"
"54" "2006_C_24" "brood_54"
"55" "2006_C_25" "brood_55"
"56" "2006_C_26" "brood_56"
"57" "2006_C_27" "brood_57"
"58" "2006_C_28" "brood_58"
"59" "2006_C_3" "brood_59"
"60" "2006_C_30" "brood_60"
"61" "2006_C_31" "brood_61"
"62" "2006_C_32" "brood_62"
"63" "2006_C_33" "brood_63"
"64" "2006_C_34" "brood_64"
"65" "2006_C_36" "brood_65"
"66" "2006_C_37" "brood_66"
"67" "2006_C_38" "brood_67"
"68" "2006_C_39" "brood_68"
"69" "2006_C_5" "brood_69"
"70" "2006_C_6" "brood_70"
"71" "2006_C_7" "brood_71"
"72" "2006_C_8" "brood_72"
"73" "2006_C_9" "brood_73"
"74" "2006_D_1" "brood_74"
"75" "2006_D_10" "brood_75"
"76" "2006_D_101" "brood_76"
"77" "2006_D_102" "brood_77"
"78" "2006_D_103" "brood_78"
"79" "2006_D_107" "brood_79"
"80" "2006_D_108" "brood_80"
"81" "2006_D_11" "brood_81"
"82" "2006_D_111" "brood_82"
"83" "2006_D_112" "brood_83"
"84" "2006_D_113" "brood_84"
"85" "2006_D_114" "brood_85"
"86" "2006_D_116" "brood_86"
"87" "2006_D_117" "brood_87"
"88" "2006_D_118" "brood_88"
"89" "2006_D_119" "brood_89"
"90" "2006_D_12" "brood_90"
"91" "2006_D_120" "brood_91"
"92" "2006_D_13" "brood_92"
"93" "2006_D_15" "brood_93"
"94" "2006_D_16" "brood_94"
"95" "2006_D_17" "brood_95"
"96" "2006_D_18" "brood_96"
"97" "2006_D_2" "brood_97"
"98" "2006_D_20" "brood_98"
"99" "2006_D_202" "brood_99"
"100" "2006_D_203" "brood_100"
"101" "2006_D_204" "brood_101"
"102" "2006_D_21" "brood_102"
"103" "2006_D_22" "brood_103"
"104" "2006_D_23" "brood_104"
"105" "2006_D_24" "brood_105"
"106" "2006_D_25" "brood_106"
"107" "2006_D_26" "brood_107"
"108" "2006_D_27" "brood_108"
"109" "2006_D_28" "brood_109"
"110" "2006_D_3" "brood_110"
"111" "2006_D_30" "brood_111"
"112" "2006_D_31" "brood_112"
"113" "2006_D_32" "brood_113"
"114" "2006_D_33" "brood_114"
"115" "2006_D_34" "brood_115"
"116" "2006_D_35" "brood_116"
"117" "2006_D_36" "brood_117"
"118" "2006_D_37" "brood_118"
"119" "2006_D_39" "brood_119"
"120" "2006_D_4" "brood_120"
"121" "2006_D_40" "brood_121"
"122" "2006_D_41" "brood_122"
"123" "2006_D_42" "brood_123"
"124" "2006_D_43" "brood_124"
"125" "2006_D_44" "brood_125"
