"ring" "alias"
"1" "802109713" "bird_1"
"2" "802109714" "bird_2"
"3" "802109716" "bird_3"
"4" "802109721" "bird_4"
"5" "802109729" "bird_5"
"6" "802109735" "bird_6"
"7" "802109742" "bird_7"
"8" "802109744" "bird_8"
"9" "802109745" "bird_9"
"10" "802109746" "bird_10"
"11" "802109760" "bird_11"
"12" "802109768" "bird_12"
"13" "802109771" "bird_13"
"14" "802109777" "bird_14"
"15" "802109780" "bird_15"
"16" "802109785" "bird_16"
"17" "802109790" "bird_17"
"18" "802109792" "bird_18"
"19" "802109793" "bird_19"
"20" "802122903" "bird_20"
"21" "802122906" "bird_21"
"22" "802122910" "bird_22"
"23" "802122911" "bird_23"
"24" "802122913" "bird_24"
"25" "802122914" "bird_25"
"26" "802122915" "bird_26"
"27" "802122919" "bird_27"
"28" "802122925" "bird_28"
"29" "802122928" "bird_29"
"30" "802122930" "bird_30"
"31" "BX.WX|BX.SX" "bird_31"
"32" "BX.WX|GX.BX" "bird_32"
"33" "BX.WX|LX.XX" "bird_33"
"34" "BX.WX|SX." "bird_34"
"35" "CA002" "bird_35"
"36" "CA003" "bird_36"
"37" "CA004" "bird_37"
"38" "CA005" "bird_38"
"39" "CA006" "bird_39"
"40" "CA007" "bird_40"
"41" "CA008" "bird_41"
"42" "CA009" "bird_42"
"43" "CA010" "bird_43"
"44" "CA011" "bird_44"
"45" "CA012" "bird_45"
"46" "CA013" "bird_46"
"47" "CA014" "bird_47"
"48" "CA015" "bird_48"
"49" "CA016" "bird_49"
"50" "CA017" "bird_50"
"51" "CA018" "bird_51"
"52" "CA019" "bird_52"
"53" "CA020" "bird_53"
"54" "CA021" "bird_54"
"55" "CA022" "bird_55"
"56" "CA023" "bird_56"
"57" "CA024" "bird_57"
"58" "CA025" "bird_58"
"59" "CA026" "bird_59"
"60" "CA027" "bird_60"
"61" "CA028" "bird_61"
"62" "CA029" "bird_62"
"63" "CA030" "bird_63"
"64" "CA031" "bird_64"
"65" "CA032" "bird_65"
"66" "CA033" "bird_66"
"67" "CA034" "bird_67"
"68" "CA035" "bird_68"
"69" "CA036" "bird_69"
"70" "CA037" "bird_70"
"71" "CA038" "bird_71"
"72" "CA039" "bird_72"
"73" "CA040" "bird_73"
"74" "CA041" "bird_74"
"75" "CA042" "bird_75"
"76" "CA043" "bird_76"
"77" "CA044" "bird_77"
"78" "CA045" "bird_78"
"79" "CA046" "bird_79"
"80" "CA047" "bird_80"
"81" "CA048" "bird_81"
"82" "CA049" "bird_82"
"83" "CA050" "bird_83"
"84" "CA051" "bird_84"
"85" "CA052" "bird_85"
"86" "CA053" "bird_86"
