"brood_ID"	"clutch_size"
"2006_A_1"	2
"2006_A_2"	3
"2006_A_3"	3
"2006_A_4"	3
"2006_A_5"	3
"2006_A_6"	2
"2006_A_7"	3
"2006_A_8"	2
"2006_A_101"	3
"2006_A_102"	2
"2006_A_103"	3
"2006_A_104"	3
"2006_A_105"	3
"2006_A_106"	3
"2006_B_1"	3
"2006_B_2"	2
"2006_B_3"	3
"2006_B_4"	3
"2006_B_5"	3
"2006_B_6"	3
"2006_B_7"	3
"2006_B_8"	3
"2006_B_9"	3
"2006_B_101"	3
"2006_B_102"	3
"2006_B_207"	3
"2006_B_208"	3
"2006_B_209"	3
"2006_C_1"	3
"2006_C_2"	1
"2006_C_3"	3
"2006_C_4"	1
"2006_C_5"	3
"2006_C_6"	3
"2006_C_7"	3
"2006_C_8"	3
"2006_C_9"	3
"2006_C_10"	3
"2006_C_11"	2
"2006_C_12"	3
"2006_C_13"	3
"2006_C_14"	3
"2006_C_15"	2
"2006_C_16"	3
"2006_C_17"	3
"2006_C_18"	3
"2006_C_19"	3
"2006_C_20"	3
"2006_C_21"	3
"2006_C_22"	3
"2006_C_23"	2
"2006_C_24"	3
"2006_C_25"	3
"2006_C_26"	3
"2006_C_27"	3
"2006_C_28"	3
"2006_C_29"	2
"2006_C_30"	3
"2006_C_31"	3
"2006_C_32"	2
"2006_C_33"	3
"2006_C_34"	2
"2006_C_35"	3
"2006_C_36"	3
"2006_C_37"	3
"2006_C_38"	3
"2006_C_39"	2
"2006_C_101"	1
"2006_C_103"	2
"2006_C_104"	1
"2006_C_105"	3
"2006_C_106"	3
"2006_C_107"	3
"2006_C_108"	3
"2006_C_109"	3
"2006_C_110"	3
"2006_C_111"	3
"2006_C_112"	3
"2006_C_113"	3
"2006_C_201"	3
"2006_C_205"	3
"2006_C_206"	3
"2006_C_210"	3
"2006_C_211"	3
"2006_C_212"	3
"2006_C_213"	3
"2006_C_214"	3
"2006_D_1"	3
"2006_D_2"	3
"2006_D_3"	3
"2006_D_4"	3
"2006_D_5"	3
"2006_D_6"	3
"2006_D_7"	3
"2006_D_8"	3
"2006_D_9"	3
"2006_D_10"	3
"2006_D_11"	3
"2006_D_12"	3
"2006_D_13"	2
"2006_D_14"	3
"2006_D_15"	3
"2006_D_16"	3
"2006_D_17"	3
"2006_D_18"	3
"2006_D_19"	3
"2006_D_20"	3
"2006_D_21"	3
"2006_D_22"	3
"2006_D_23"	3
"2006_D_24"	3
"2006_D_25"	3
"2006_D_26"	3
"2006_D_27"	3
"2006_D_28"	3
"2006_D_29"	3
"2006_D_30"	3
"2006_D_31"	3
"2006_D_32"	3
"2006_D_33"	3
"2006_D_34"	3
"2006_D_35"	3
"2006_D_36"	3
"2006_D_37"	3
"2006_D_38"	3
"2006_D_39"	3
"2006_D_40"	2
"2006_D_41"	3
"2006_D_42"	3
"2006_D_43"	2
"2006_D_44"	3
"2006_D_45"	3
"2006_D_46"	2
"2006_D_47"	3
"2006_D_101"	3
"2006_D_102"	3
"2006_D_103"	3
"2006_D_104"	3
"2006_D_105"	3
"2006_D_106"	3
"2006_D_107"	3
"2006_D_108"	3
"2006_D_109"	3
"2006_D_110"	3
"2006_D_111"	3
"2006_D_112"	3
"2006_D_113"	3
"2006_D_114"	3
"2006_D_115"	3
"2006_D_116"	3
"2006_D_117"	3
"2006_D_118"	3
"2006_D_119"	3
"2006_D_120"	3
