"sex_age"	"estimate"	"iter"
"Female_Adult"	0.7126737	"1"
"Male_Adult"	0.701962	"1"
"Female_Fledgling"	0.1144212	"1"
"Male_Fledgling"	0.2034334	"1"
"Female_Chick"	0.472380724010314	"1"
"Male_Chick"	0.472483807239915	"1"
"Female_Adult"	0.6865111	"2"
"Male_Adult"	0.6715672	"2"
"Female_Fledgling"	0.1323685	"2"
"Male_Fledgling"	0.2492704	"2"
"Female_Chick"	0.548516245007005	"2"
"Male_Chick"	0.519660596992304	"2"
"Female_Adult"	0.713624	"3"
"Male_Adult"	0.6899889	"3"
"Female_Fledgling"	0.1604093	"3"
"Male_Fledgling"	0.2550958	"3"
"Female_Chick"	0.454565053872261	"3"
"Male_Chick"	0.591428984610694	"3"
"Female_Adult"	0.6795083	"4"
"Male_Adult"	0.6788927	"4"
"Female_Fledgling"	0.1647912	"4"
"Male_Fledgling"	0.182625	"4"
"Female_Chick"	0.493528065573083	"4"
"Male_Chick"	0.49870808943618	"4"
"Female_Adult"	0.7463889	"5"
"Male_Adult"	0.6897047	"5"
"Female_Fledgling"	0.1206171	"5"
"Male_Fledgling"	0.2091741	"5"
"Female_Chick"	0.511772738067134	"5"
"Male_Chick"	0.563782257134135	"5"
"Female_Adult"	0.6375891	"6"
"Male_Adult"	0.7290182	"6"
"Female_Fledgling"	0.1508983	"6"
"Male_Fledgling"	0.2246136	"6"
"Female_Chick"	0.485233837296997	"6"
"Male_Chick"	0.598601198735757	"6"
"Female_Adult"	0.6777255	"7"
"Male_Adult"	0.7481152	"7"
"Female_Fledgling"	0.1314531	"7"
"Male_Fledgling"	0.2324399	"7"
"Female_Chick"	0.50338939656098	"7"
"Male_Chick"	0.552143078906956	"7"
"Female_Adult"	0.6111419	"8"
"Male_Adult"	0.6726195	"8"
"Female_Fledgling"	0.1400229	"8"
"Male_Fledgling"	0.21885	"8"
"Female_Chick"	0.458173602966525	"8"
"Male_Chick"	0.551023296742265	"8"
"Female_Adult"	0.6142478	"9"
"Male_Adult"	0.7202767	"9"
"Female_Fledgling"	0.1655129	"9"
"Male_Fledgling"	0.2113909	"9"
