"no_chicks" "clutch_size" "brood_ID" "year" "male" "female"
0 "2" "brood_1" "2006" "bird_1" "bird_786"
0 "3" "brood_7" "2006" NA "bird_693"
0 "3" "brood_8" "2006" "bird_388" "bird_23"
0 "3" "brood_9" "2006" "bird_139" "bird_130"
2 "3" "brood_10" "2006" "bird_1237" "bird_25"
3 "3" "brood_11" "2006" "bird_511" "bird_24"
0 "2" "brood_3" "2006" NA "bird_30"
3 "3" "brood_4" "2006" "bird_85" "bird_131"
2 "3" "brood_5" "2006" "bird_84" "bird_11"
0 "3" "brood_6" "2006" NA "bird_645"
1 "3" "brood_12" "2006" "bird_8" "bird_940"
1 "2" "brood_14" "2006" "bird_20" "bird_977"
0 "3" "brood_18" "2006" "bird_639" "bird_72"
3 "3" "brood_19" "2006" "bird_28" "bird_29"
3 "3" "brood_20" "2006" "bird_90" "bird_4"
2 "3" "brood_21" "2006" "bird_1255" "bird_1256"
1 "3" "brood_22" "2006" "bird_76" "bird_141"
2 "3" "brood_23" "2006" "bird_75" "bird_142"
0 "3" "brood_24" "2006" "bird_111" NA
0 "3" "brood_13" "2006" "bird_2" NA
3 "3" "brood_16" "2006" "bird_121" "bird_209"
3 "3" "brood_17" "2006" "bird_177" "bird_199"
3 "3" "brood_25" "2006" "bird_722" "bird_587"
0 "3" "brood_59" "2006" "bird_527" "bird_628"
1 "3" "brood_69" "2006" "bird_40" "bird_7"
0 "3" "brood_70" "2006" "bird_19" "bird_44"
1 "3" "brood_71" "2006" NA "bird_35"
1 "3" "brood_72" "2006" "bird_62" "bird_48"
0 "3" "brood_73" "2006" "bird_63" "bird_45"
1 "3" "brood_26" "2006" "bird_46" "bird_67"
0 "2" "brood_31" "2006" "bird_3" "bird_36"
1 "3" "brood_36" "2006" "bird_87" "bird_43"
3 "3" "brood_37" "2006" "bird_41" "bird_69"
0 "2" "brood_38" "2006" "bird_12" "bird_491"
3 "3" "brood_39" "2006" "bird_143" "bird_80"
0 "3" "brood_40" "2006" "bird_722" "bird_721"
0 "3" "brood_41" "2006" NA "bird_16"
0 "3" "brood_42" "2006" "bird_577" "bird_484"
2 "3" "brood_43" "2006" "bird_136" "bird_326"
0 "3" "brood_46" "2006" "bird_838" "bird_35"
NA "3" "brood_52" "2006" "bird_858" "bird_1128"
NA "2" "brood_53" "2006" NA "bird_36"
NA "3" "brood_54" "2006" "bird_1145" NA
0 "3" "brood_55" "2006" "bird_1146" "bird_1132"
NA "3" "brood_56" "2006" NA "bird_1159"
NA "3" "brood_57" "2006" "bird_878" "bird_13"
NA "3" "brood_58" "2006" "bird_62" "bird_548"
3 "3" "brood_60" "2006" "bird_15" "bird_1155"
NA "3" "brood_61" "2006" "bird_2" "bird_867"
NA "2" "brood_62" "2006" "bird_63" "bird_45"
NA "3" "brood_63" "2006" "bird_1058" "bird_48"
NA "2" "brood_64" "2006" NA "bird_491"
NA "3" "brood_65" "2006" NA "bird_5"
NA "3" "brood_66" "2006" "bird_59" NA
NA "3" "brood_67" "2006" NA NA
