"ring"	"ch"	"year"	"day_of_season"	"sex"	"brood_ID"	"clutch_size"
"CA004"	"11110101.10110000000.000000"	"2006"	24	"M"	"2006_D_6"	3
"CA005"	"11110000.00000000000.000000"	"2006"	24	"M"	"2006_D_6"	3
"CA006"	"11110000.00000000000.000000"	"2006"	24	"F"	"2006_D_6"	3
"CA009"	"110100.00000000000.00000000"	"2006"	26	"F"	"2006_D_2"	3
"CA016"	"110100.00000000000.00000000"	"2006"	26	"F"	"2006_D_2"	3
"CA017"	"110100.00000000000.00000000"	"2006"	26	"M"	"2006_D_2"	3
"CA022"	"1111..10000.0000000.000.0.."	"2006"	28	"M"	"2006_A_5"	3
"CA023"	"1..101.00010100101111100100"	"2006"	28	"M"	"2006_B_2"	2
"CA024"	"1000.00000000000.0000000000"	"2006"	28	"M"	"2006_D_102"	3
"CA028"	"1111..10000.0000000.000.0.."	"2006"	28	"M"	"2006_A_5"	3
"CA032"	"11..11011.1011001.001.1..11"	"2006"	30	"F"	"2006_A_7"	3
"CA033"	"11..11011.1011001.001.1..11"	"2006"	30	"M"	"2006_A_7"	3
"CA037"	"11..11011.1011001.001.1..11"	"2006"	30	"F"	"2006_A_7"	3
"CA038"	"100110000110100110010000001"	"2006"	31	"F"	"2006_C_107"	3
"CA041"	"100110000110100110010000001"	"2006"	31	"F"	"2006_C_107"	3
"CA045"	"11.010110110101010111011010"	"2006"	32	"M"	"2006_B_4"	3
"CA046"	"11.010110110101010111011010"	"2006"	32	"F"	"2006_B_4"	3
"CA053"	"100100100101001010110010101"	"2006"	32	"M"	"2006_C_7"	3
"CA055"	"11.010110110101010111011010"	"2006"	32	"M"	"2006_B_4"	3
"CA056"	"100011011010010101010101010"	"2006"	33	"M"	"2006_C_5"	3
"CA059"	"1101001000.0000000000000000"	"2006"	34	"F"	"2006_D_117"	3
"CA070"	"1011011010110100100000000.0"	"2006"	35	"M"	"2006_B_6"	3
"CA071"	"1011011010110100100000000.0"	"2006"	35	"F"	"2006_B_6"	3
"CA072"	"1010010010010001100101011.1"	"2006"	35	"F"	"2006_B_5"	3
"CA073"	"1010010010010001100101011.1"	"2006"	35	"M"	"2006_B_5"	3
"CA074"	"010000000000000000000000000"	"2006"	34	"F"	"2006_C_111"	3
"CA075"	"1111.0000000.000.0..00..0.."	"2006"	35	"F"	"2006_A_103"	3
"CA076"	"1111.0000000.000.0..00..0.."	"2006"	35	"M"	"2006_A_103"	3
"CA077"	"1000000000000000000000000.0"	"2006"	35	"M"	"2006_B_5"	3
"CA086"	"1111.0000000.000.0..00..0.."	"2006"	35	"M"	"2006_A_103"	3
"CA087"	"111.1110000.000.0..00..0..."	"2006"	36	"F"	"2006_A_101"	3
"CA088"	"111.1110000.000.0..00..0..."	"2006"	36	"M"	"2006_A_101"	3
"CA089"	"11001000000000000101010.00."	"2006"	37	"M"	"2006_B_208"	3
"CA090"	"11001000000000000101010.00."	"2006"	37	"F"	"2006_B_208"	3
"CA094"	"111000000000000000000000000"	"2006"	38	"M"	"2006_C_8"	3
