"bird_ID"	"ch"	"sex"	"stage"
"bird_42"	"1000000"	"F"	"J"
"bird_65"	"1000000"	"F"	"J"
"bird_66"	"1000000"	"M"	"J"
"bird_70"	"1000000"	"F"	"J"
"bird_71"	"1000000"	"F"	"J"
"bird_78"	"1110000"	"F"	"J"
"bird_79"	"1000000"	"F"	"J"
"bird_86"	"1000000"	"M"	"J"
"bird_88"	"1000000"	"M"	"J"
"bird_89"	"1000000"	"M"	"J"
"bird_102"	"1000000"	"F"	"J"
"bird_103"	"1111000"	"F"	"J"
"bird_104"	"1000000"	"M"	"J"
"bird_105"	"1000000"	"F"	"J"
"bird_113"	"1000000"	"F"	"J"
"bird_114"	"1011000"	"M"	"J"
"bird_115"	"1000000"	"F"	"J"
"bird_119"	"1000000"	"M"	"J"
"bird_120"	"1000000"	"F"	"J"
"bird_125"	"1000000"	"F"	"J"
"bird_126"	"1000000"	"F"	"J"
"bird_135"	"1000000"	"F"	"J"
"bird_146"	"1000000"	"F"	"J"
"bird_147"	"1000000"	"M"	"J"
"bird_157"	"1000000"	"F"	"J"
"bird_188"	"1000000"	"F"	"J"
"bird_220"	"1100000"	"M"	"J"
"bird_241"	"1100000"	"M"	"J"
"bird_431"	"1000000"	"M"	"J"
"bird_441"	"1000000"	"M"	"J"
"bird_451"	"1000000"	"M"	"J"
"bird_575"	"1000000"	"F"	"J"
"bird_576"	"1000000"	"F"	"J"
"bird_579"	"1000000"	"M"	"J"
"bird_585"	"1000000"	"M"	"J"
"bird_586"	"1000000"	"M"	"J"
"bird_592"	"1000000"	"M"	"J"
"bird_593"	"1101000"	"M"	"J"
"bird_598"	"1000000"	"M"	"J"
"bird_602"	"1000000"	"M"	"J"
"bird_605"	"1000000"	"F"	"J"
"bird_609"	"1000000"	"M"	"J"
"bird_610"	"1000000"	"M"	"J"
"bird_670"	"1000000"	"F"	"J"
"bird_680"	"1000000"	"M"	"J"
"bird_700"	"1000000"	"F"	"J"
"bird_720"	"1000000"	"M"	"J"
"bird_775"	"1000000"	"M"	"J"
"bird_847"	"1000000"	"M"	"J"
"bird_897"	"1000000"	"F"	"J"
"bird_908"	"1000000"	"M"	"J"
"bird_919"	"1000000"	"M"	"J"
"bird_986"	"1000000"	"M"	"J"
"bird_1026"	"1000000"	"M"	"J"
"bird_1066"	"1000000"	"F"	"J"
"bird_1076"	"1000000"	"F"	"J"
"bird_1097"	"1000000"	"M"	"J"
"bird_1126"	"1000000"	"F"	"J"
"bird_1127"	"1000000"	"M"	"J"
"bird_1133"	"1000000"	"M"	"J"
"bird_1134"	"1000000"	"F"	"J"
"bird_1135"	"1000000"	"M"	"J"
"bird_1136"	"1000000"	"F"	"J"
"bird_1137"	"1000000"	"F"	"J"
"bird_1138"	"1000000"	"M"	"J"
"bird_1140"	"1000000"	"M"	"J"
"bird_1141"	"1000000"	"F"	"J"
"bird_1142"	"1000000"	"F"	"J"
"bird_1147"	"1000000"	"F"	"J"
"bird_1149"	"1000000"	"M"	"J"
"bird_1150"	"1000000"	"M"	"J"
"bird_1151"	"1000000"	"M"	"J"
"bird_1154"	"1000000"	"M"	"J"
"bird_1156"	"1000000"	"M"	"J"
"bird_1157"	"1000000"	"F"	"J"
"bird_1158"	"1000000"	"F"	"J"
"bird_1160"	"1000000"	"F"	"J"
"bird_1161"	"1000000"	"F"	"J"
"bird_1162"	"1000000"	"M"	"J"
"bird_1163"	"1000000"	"M"	"J"
"bird_1164"	"1000000"	"M"	"J"
"bird_1165"	"1000000"	"F"	"J"
"bird_1175"	"1000000"	"M"	"J"
"bird_1186"	"1000000"	"F"	"J"
"bird_1197"	"1000000"	"M"	"J"
"bird_1207"	"1111100"	"M"	"J"
"bird_1218"	"1000000"	"F"	"J"
"bird_1229"	"1000000"	"F"	"J"
"bird_1238"	"1000000"	"M"	"J"
"bird_149"	"0100000"	"M"	"J"
"bird_150"	"0111111"	"M"	"J"
"bird_151"	"0111100"	"M"	"J"
"bird_152"	"0100000"	"F"	"J"
"bird_153"	"0100000"	"M"	"J"
"bird_159"	"0100000"	"M"	"J"
"bird_160"	"0111000"	"F"	"J"
"bird_161"	"0111110"	"M"	"J"
"bird_162"	"0100000"	"F"	"J"
"bird_163"	"0111000"	"M"	"J"
"bird_165"	"0100000"	"F"	"J"
"bird_166"	"0100000"	"F"	"J"
"bird_168"	"0100000"	"F"	"J"
"bird_169"	"0111000"	"M"	"J"
"bird_175"	"0100000"	"F"	"J"
"bird_179"	"0100000"	"F"	"J"
"bird_180"	"0100000"	"F"	"J"
"bird_184"	"0100000"	"M"	"J"
"bird_187"	"0100000"	"F"	"J"
"bird_189"	"0100000"	"M"	"J"
"bird_190"	"0100000"	"F"	"J"
"bird_191"	"0100000"	"M"	"J"
"bird_192"	"0100000"	"M"	"J"
"bird_194"	"0100000"	"M"	"J"
"bird_195"	"0100100"	"M"	"J"
"bird_197"	"0101111"	"M"	"J"
"bird_198"	"0100000"	"F"	"J"
"bird_200"	"0100000"	"M"	"J"
"bird_219"	"0100000"	"M"	"J"
"bird_227"	"0101110"	"F"	"J"
"bird_228"	"0111111"	"F"	"J"
"bird_233"	"0100000"	"M"	"J"
"bird_235"	"0100000"	"M"	"J"
"bird_237"	"0100000"	"F"	"J"
"bird_239"	"0100000"	"M"	"J"
"bird_240"	"0100000"	"M"	"J"
"bird_256"	"0100000"	"F"	"J"
"bird_269"	"0100000"	"M"	"J"
"bird_279"	"0100000"	"M"	"J"
"bird_292"	"0100000"	"M"	"J"
"bird_299"	"0100000"	"F"	"J"
"bird_300"	"0100000"	"F"	"J"
"bird_301"	"0100000"	"F"	"J"
"bird_303"	"0100000"	"F"	"J"
"bird_310"	"0100000"	"M"	"J"
"bird_325"	"0100000"	"F"	"J"
"bird_332"	"0100000"	"F"	"J"
"bird_334"	"0100000"	"F"	"J"
"bird_351"	"0100000"	"M"	"J"
"bird_361"	"0100000"	"F"	"J"
"bird_362"	"0100000"	"M"	"J"
"bird_364"	"0100000"	"F"	"J"
"bird_367"	"0111110"	"M"	"J"
"bird_369"	"0100000"	"M"	"J"
"bird_370"	"0100000"	"F"	"J"
"bird_371"	"0100000"	"F"	"J"
"bird_372"	"0100000"	"F"	"J"
"bird_373"	"0100000"	"M"	"J"
"bird_375"	"0111111"	"M"	"J"
"bird_377"	"0111111"	"M"	"J"
"bird_387"	"0111110"	"F"	"J"
