"Sex" "year" "N" "total_chicks_p_year" "sd" "se" "ci"
"Female" 2006 82 1.68292682926829 1.25588047693948 0.138688797636032 0.275947203873096
"Female" 2007 83 2.48192771084337 1.67740686763486 0.184119323527565 0.366271987020817
"Female" 2008 45 2.26666666666667 1.93531768592512 0.288500126919076 0.581433801015617
"Female" 2009 45 2.11111111111111 1.46508178831922 0.218401498085249 0.440159297450953
"Female" 2010 55 2.69090909090909 1.68734645142545 0.227521749095775 0.456153642374439
"Female" 2011 48 1.97916666666667 1.79229537047761 0.258695553653142 0.520428326005777
"Female" 2012 22 1.04545454545455 1.39650150383609 0.297735121009541 0.619174079713112
"Male" 2006 84 1.53571428571429 1.22667567783365 0.133841289210332 0.266204941166143
"Male" 2007 94 2.17021276595745 1.29214581780035 0.133274664974372 0.264657071512441
"Male" 2008 51 1.92156862745098 1.12859447552966 0.158034836702823 0.31742231128881
"Male" 2009 56 1.82142857142857 1.28072625500524 0.171144244731274 0.342980730843671
"Male" 2010 65 2.32307692307692 1.37053470755592 0.169993908696997 0.339601872457365
"Male" 2011 47 2.02127659574468 1.27670366488022 0.186226369223085 0.374854239011892
"Male" 2012 23 1.21739130434783 1.41281542702153 0.294592380936191 0.61094720483329
