"year" "age" "estimate"
"2006" "Adult" 0.6842301
"2007" "Adult" 0.6835413
"2008" "Adult" 0.6828518
"2009" "Adult" 0.6821614
"2010" "Adult" 0.6814702
"2011" "Adult" 0.6807782
"2006" "Fledgling" 0.1944337
"2007" "Fledgling" 0.1939352
"2008" "Fledgling" 0.1934376
"2009" "Fledgling" 0.192941
"2010" "Fledgling" 0.1924454
"2011" "Fledgling" 0.1919507
"2006" "Chick" 0.241574391567549
"2007" "Chick" 0.710989688367515
"2008" "Chick" 0.594476441072071
"2009" "Chick" 0.708470538286334
"2010" "Chick" 0.309584951911443
"2011" "Chick" 0.679192413467212
"2012" "Chick" 0.655545277454191
