"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"10" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10452.497019365 0 0.999705212309869 6159.3316 1
"7" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10469.8541596582 17.3571402931884 0.000170144075356721 6188.7723 2
"8" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10471.784871345 19.2878519800215 6.47989718555043e-05 6188.6913 3
"6" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10473.078352518 20.5813331529771 3.39384690188167e-05 6194.0073 4
"9" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10473.618488189 21.1214688239688 2.59061739003918e-05 6188.5125 5
"2" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10882.2138636874 429.716844322393 0 6613.1839 6
"4" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10882.9851572327 430.488137867696 0 6611.9486 7
"5" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10884.9573522804 432.460332915378 0 6611.9138 8
"1" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10888.2854710373 435.788451672262 0 6621.2609 9
"3" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10889.2558636874 436.758844322392 0 6620.2259 10
"101" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9159.43757184612 0 0.999670530845728 5055.0742 11
"61" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9176.36283541147 16.9252635653556 0.000211145876379024 5086.1045 12
"71" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9178.37462489399 18.9370530478718 7.72196926457931e-05 5086.1043 13
"81" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9180.29261836327 20.8550465171575 2.95965492737414e-05 5086.0093 14
"91" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9182.182016571 22.7444447248836 1.15070359737e-05 5085.8848 15
"31" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 9491.50372154421 332.066149698094 0 5411.2903 16
"11" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 9492.25714023904 332.819568392928 0 5414.0497 17
"41" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 9493.19650234181 333.758930495689 0 5410.9761 18
"21" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 9493.76562154421 334.328049698093 0 5413.5523 19
"51" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 9494.93078337902 335.493211532901 0 5410.7024 20
"102" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9233.29518858815 0 0.840359256699672 5079.9887 21
"82" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9237.69515075499 4.39996216684449 0.0931162212249259 5094.4667 22
"92" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9239.58761425091 6.2924256627648 0.036147820472512 5094.3455 23
"72" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9240.79296785975 7.49777927160358 0.0197853121368265 5099.5772 24
"62" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9242.04276484907 8.74757626092651 0.0105913894660637 5102.8387 25
"42" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 9719.62453735408 486.329348765936 0 5588.4575 26
"22" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 9719.66012304887 486.36493446072 0 5590.4999 27
"52" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 9721.59332797373 488.298139385581 0 5588.4185 28
"12" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 9724.71008434614 491.414895757987 0 5597.5557 29
"32" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 9724.90362304887 491.608434460721 0 5595.7435 30
"103" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10224.875742414 0 0.999997521024784 6047.9673 31
