"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"9" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2129.26737802434 0 0.554038050976196 446.73825 1
"8" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2131.35861444921 2.09123642487521 0.194730228284081 450.85243 2
"12" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2131.52483982808 2.25746180374244 0.179199993916007 446.96985 3
"11" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2133.34767802434 4.08030000000008 0.0720300482284148 450.81847 4
"10" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2155.79684288778 26.5294648634394 9.61035640052639e-07 477.31071 5
"3" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2157.77311444921 28.5057364248755 3.57764773788468e-07 477.2669 6
"5" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2158.12277802434 28.8553999999999 3.00378674320275e-07 475.59362 7
"4" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2163.20197802434 33.9346 2.36992624268167e-08 480.67279 8
"7" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2163.72934288778 34.4619648634393 1.82061872428039e-08 485.24322 9
"2" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2163.80761444921 34.5402364248753 1.75074361579724e-08 483.30143 10
"6" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2182.13935714286 52.8719791185194 1.83035446743443e-12 505.67045 11
"1" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2182.54204288778 53.2746648634393 1.49655645709213e-12 504.05586 12
"81" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2357.78966631016 0 0.412361242973945 525.00707 13
"111" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2358.90102107023 1.11135476007348 0.236564852589882 524.09696 14
"121" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2359.37838192771 1.58871561755041 0.186334223124574 522.55019 15
"91" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2359.67102107023 1.88135476007346 0.160970704448431 524.86701 16
"21" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2369.79356631016 12.0038999999997 0.00102015009508754 537.01098 17
"41" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2370.24642107023 12.4567547600732 0.000813444473038616 535.44234 18
"71" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2370.27711222445 12.4874459142884 0.000801056987799548 539.51325 19
"51" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2370.61162107023 12.8219547600734 0.000677681672068357 535.8076 20
"101" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2372.24311222445 14.4534459142883 0.000299744993151867 541.47926 21
"31" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2373.57326631016 15.7835999999998 0.000154139039271381 540.79066 22
"13" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2382.99321222445 25.2035459142885 1.38802530106952e-06 552.22932 23
"61" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2383.01705340454 25.2273870943786 1.37157744930247e-06 554.26925 24
"92" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2263.4099278879 0 0.742835716974265 488.17262 25
"82" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2266.54040273224 3.13047484433946 0.155281172606491 493.3251 26
"112" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2268.5536278879 5.14370000000008 0.0567482553162859 493.31638 27
"122" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2269.91131901505 6.50139112714669 0.0287828392159819 492.64932 28
"52" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2271.0989278879 7.68900000000031 0.0158945282148017 495.86168 29
"102" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2278.81723788396 15.4073099960578 0.000335148994790421 507.62103 30
"32" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2280.83280273224 17.4228748443393 0.000122338619469606 507.6174 31
