"sex_stage"	"estimate"	"iter"
"Female_Adult"	0.6794666	1
"Male_Adult"	0.6955823	1
"Female_Juvenile"	0.1784248	1
"Male_Juvenile"	0.1975352	1
"Female_Chick"	0.453145405122198	1
"Male_Chick"	0.534291181057416	1
"Female_Adult"	0.671342	2
"Male_Adult"	0.6851971	2
"Female_Juvenile"	0.170837	2
"Male_Juvenile"	0.2078331	2
"Female_Chick"	0.383889873430901	2
"Male_Chick"	0.507424403474706	2
"Female_Adult"	0.6921792	3
"Male_Adult"	0.7381113	3
"Female_Juvenile"	0.183226	3
"Male_Juvenile"	0.1999672	3
"Female_Chick"	0.477115303913497	3
"Male_Chick"	0.581620078757638	3
"Female_Adult"	0.6782343	4
"Male_Adult"	0.7428315	4
"Female_Juvenile"	0.1318634	4
"Male_Juvenile"	0.2151237	4
"Female_Chick"	0.53440467884321	4
"Male_Chick"	0.593947926293024	4
"Female_Adult"	0.6309449	5
"Male_Adult"	0.6880833	5
"Female_Juvenile"	0.1595787	5
"Male_Juvenile"	0.2148448	5
"Female_Chick"	0.515133208490022	5
"Male_Chick"	0.487569749616399	5
"Female_Adult"	0.6846422	6
"Male_Adult"	0.7150375	6
"Female_Juvenile"	0.1078618	6
"Male_Juvenile"	0.2313878	6
"Female_Chick"	0.466262090110938	6
"Male_Chick"	0.550991842606257	6
"Female_Adult"	0.758561	7
"Male_Adult"	0.672195	7
"Female_Juvenile"	0.1400129	7
"Male_Juvenile"	0.2402672	7
"Female_Chick"	0.511741717901895	7
"Male_Chick"	0.525380636302924	7
"Female_Adult"	0.6513894	8
"Male_Adult"	0.7241933	8
"Female_Juvenile"	0.1553783	8
"Male_Juvenile"	0.2406347	8
"Female_Chick"	0.477948677006378	8
"Male_Chick"	0.500314618439417	8
"Female_Adult"	0.6730647	9
"Male_Adult"	0.7330735	9
"Female_Juvenile"	0.1669403	9
"Male_Juvenile"	0.2061063	9
"Female_Chick"	0.493822604547262	9
"Male_Chick"	0.514446122674374	9
"Female_Adult"	0.624133	10
"Male_Adult"	0.6742993	10
"Female_Juvenile"	0.1728803	10
"Male_Juvenile"	0.2347844	10
"Female_Chick"	0.462435546694065	10
"Male_Chick"	0.565114080821704	10
"Female_Adult"	0.7151775	11
"Male_Adult"	0.6954199	11
"Female_Juvenile"	0.1253114	11
"Male_Juvenile"	0.2114027	11
"Female_Chick"	0.465103079332113	11
"Male_Chick"	0.563732255639548	11
"Female_Adult"	0.6606602	12
"Male_Adult"	0.6515484	12
"Female_Juvenile"	0.1383928	12
"Male_Juvenile"	0.2148034	12
"Female_Chick"	0.462779801650967	12
"Male_Chick"	0.536138392364005	12
"Female_Adult"	0.7068236	13
"Male_Adult"	0.7154931	13
"Female_Juvenile"	0.1548622	13
"Male_Juvenile"	0.198936	13
"Female_Chick"	0.552367049071793	13
"Male_Chick"	0.520701975491982	13
"Female_Adult"	0.6927725	14
"Male_Adult"	0.7163678	14
"Female_Juvenile"	0.1676668	14
"Male_Juvenile"	0.2229134	14
"Female_Chick"	0.505350912771597	14
"Male_Chick"	0.523080613086096	14
"Female_Adult"	0.6694582	15
"Male_Adult"	0.6724326	15
"Female_Juvenile"	0.1842877	15
"Male_Juvenile"	0.229831	15
"Female_Chick"	0.462888611821283	15
"Male_Chick"	0.575396653184611	15
"Female_Adult"	0.7476143	16
"Male_Adult"	0.6809058	16
"Female_Juvenile"	0.1415795	16
"Male_Juvenile"	0.2381527	16
"Female_Chick"	0.411122290065455	16
"Male_Chick"	0.569663980956812	16
"Female_Adult"	0.6783378	17
"Male_Adult"	0.6603196	17
"Female_Juvenile"	0.1552036	17
"Male_Juvenile"	0.2283574	17
"Female_Chick"	0.41687580156724	17
"Male_Chick"	0.49644158079446	17
"Female_Adult"	0.6904672	18
"Male_Adult"	0.7215366	18
"Female_Juvenile"	0.1763849	18
"Male_Juvenile"	0.2368459	18
"Female_Chick"	0.509359477275657	18
"Male_Chick"	0.477317843638418	18
"Female_Adult"	0.732784	19
"Male_Adult"	0.6828454	19
"Female_Juvenile"	0.1093776	19
"Male_Juvenile"	0.2312577	19
"Female_Chick"	0.482473900344064	19
"Male_Chick"	0.513670241939918	19
"Female_Adult"	0.693447	20
"Male_Adult"	0.7045638	20
"Female_Juvenile"	0.1389146	20
"Male_Juvenile"	0.2429357	20
"Female_Chick"	0.456597594619845	20
"Male_Chick"	0.523029916596896	20
"Female_Adult"	0.6898813	21
"Male_Adult"	0.6831896	21
"Female_Juvenile"	0.1219523	21
"Male_Juvenile"	0.2178268	21
"Female_Chick"	0.550908586544515	21
"Male_Chick"	0.479733194721521	21
"Female_Adult"	0.6819768	22
"Male_Adult"	0.6483533	22
"Female_Juvenile"	0.136747	22
"Male_Juvenile"	0.2239034	22
"Female_Chick"	0.47595283224472	22
"Male_Chick"	0.525443670735608	22
"Female_Adult"	0.7314186	23
"Male_Adult"	0.6750879	23
"Female_Juvenile"	0.1146223	23
"Male_Juvenile"	0.1993062	23
"Female_Chick"	0.404301289078251	23
"Male_Chick"	0.565238380118425	23
"Female_Adult"	0.6564998	24
"Male_Adult"	0.7545344	24
"Female_Juvenile"	0.1326737	24
"Male_Juvenile"	0.1777727	24
"Female_Chick"	0.519244083875917	24
"Male_Chick"	0.515606394457352	24
"Female_Adult"	0.7247636	25
"Male_Adult"	0.6950297	25
"Female_Juvenile"	0.1234443	25
"Male_Juvenile"	0.2526904	25
"Female_Chick"	0.450135319388882	25
"Male_Chick"	0.569592648124546	25
"Female_Adult"	0.671354	26
"Male_Adult"	0.7356798	26
"Female_Juvenile"	0.179761	26
"Male_Juvenile"	0.2335717	26
"Female_Chick"	0.498180447894408	26
"Male_Chick"	0.485376203105055	26
"Female_Adult"	0.6984478	27
"Male_Adult"	0.6592597	27
"Female_Juvenile"	0.1869022	27
"Male_Juvenile"	0.2061105	27
"Female_Chick"	0.479038994925754	27
"Male_Chick"	0.558608958128756	27
"Female_Adult"	0.6534583	28
"Male_Adult"	0.6845963	28
"Female_Juvenile"	0.1478792	28
"Male_Juvenile"	0.1786121	28
"Female_Chick"	0.478843529365518	28
"Male_Chick"	0.477529457123612	28
"Female_Adult"	0.6688071	29
"Male_Adult"	0.746958	29
"Female_Juvenile"	0.1675545	29
"Male_Juvenile"	0.1737681	29
"Female_Chick"	0.365744343223248	29
"Male_Chick"	0.530990024631386	29
"Female_Adult"	0.7058408	30
"Male_Adult"	0.6628677	30
"Female_Juvenile"	0.1184121	30
"Male_Juvenile"	0.2001291	30
"Female_Chick"	0.454309600560169	30
"Male_Chick"	0.536976951944361	30
"Female_Adult"	0.720453	31
"Male_Adult"	0.6538406	31
"Female_Juvenile"	0.1438935	31
"Male_Juvenile"	0.2148057	31
"Female_Chick"	0.504787952134566	31
"Male_Chick"	0.575618948319276	31
"Female_Adult"	0.6686236	32
"Male_Adult"	0.7395286	32
"Female_Juvenile"	0.1673399	32
"Male_Juvenile"	0.2165433	32
"Female_Chick"	0.411890909182773	32
"Male_Chick"	0.587629217290958	32
"Female_Adult"	0.624421	33
"Male_Adult"	0.6462835	33
"Female_Juvenile"	0.1653718	33
"Male_Juvenile"	0.2264439	33
"Female_Chick"	0.505693640599635	33
"Male_Chick"	0.517810586529095	33
"Female_Adult"	0.7205639	34
"Male_Adult"	0.6727834	34
"Female_Juvenile"	0.1613147	34
"Male_Juvenile"	0.291599	34
"Female_Chick"	0.473733777582021	34
"Male_Chick"	0.50053219696935	34
"Female_Adult"	0.6781456	35
"Male_Adult"	0.692644	35
"Female_Juvenile"	0.1252352	35
"Male_Juvenile"	0.2110559	35
"Female_Chick"	0.499879500678343	35
"Male_Chick"	0.468372433686586	35
"Female_Adult"	0.6422695	36
"Male_Adult"	0.7024738	36
"Female_Juvenile"	0.1457392	36
"Male_Juvenile"	0.2256609	36
"Female_Chick"	0.474891649831984	36
"Male_Chick"	0.52245446362008	36
"Female_Adult"	0.6809883	37
"Male_Adult"	0.6724116	37
"Female_Juvenile"	0.0993047	37
"Male_Juvenile"	0.2124563	37
"Female_Chick"	0.500862006619564	37
"Male_Chick"	0.528966305337045	37
"Female_Adult"	0.6747507	38
"Male_Adult"	0.730817	38
"Female_Juvenile"	0.1512114	38
"Male_Juvenile"	0.194196	38
"Female_Chick"	0.434354940288694	38
"Male_Chick"	0.597702549887816	38
"Female_Adult"	0.6344277	39
"Male_Adult"	0.7051304	39
"Female_Juvenile"	0.126945	39
"Male_Juvenile"	0.2468715	39
"Female_Chick"	0.48397377369415	39
"Male_Chick"	0.49664905547737	39
"Female_Adult"	0.693019	40
"Male_Adult"	0.6857777	40
"Female_Juvenile"	0.13469	40
"Male_Juvenile"	0.2425964	40
"Female_Chick"	0.432248692664398	40
"Male_Chick"	0.561422788254209	40
"Female_Adult"	0.6889051	41
"Male_Adult"	0.6725206	41
"Female_Juvenile"	0.111844	41
"Male_Juvenile"	0.2605028	41
"Female_Chick"	0.441005037008609	41
"Male_Chick"	0.4799453217959	41
"Female_Adult"	0.6874307	42
"Male_Adult"	0.7158331	42
"Female_Juvenile"	0.156769	42
"Male_Juvenile"	0.201856	42
"Female_Chick"	0.434720391747111	42
"Male_Chick"	0.591779377175994	42
"Female_Adult"	0.7242987	43
"Male_Adult"	0.6946849	43
"Female_Juvenile"	0.1488198	43
"Male_Juvenile"	0.2050198	43
"Female_Chick"	0.497849215442688	43
"Male_Chick"	0.539817909044113	43
"Female_Adult"	0.7108804	44
"Male_Adult"	0.6954447	44
"Female_Juvenile"	0.1121297	44
"Male_Juvenile"	0.2114277	44
"Female_Chick"	0.505593522096886	44
"Male_Chick"	0.57850674796721	44
"Female_Adult"	0.6940096	45
"Male_Adult"	0.7123486	45
"Female_Juvenile"	0.1548065	45
"Male_Juvenile"	0.2087002	45
"Female_Chick"	0.449755744650492	45
"Male_Chick"	0.553306064636925	45
"Female_Adult"	0.657486	46
"Male_Adult"	0.719883	46
"Female_Juvenile"	0.1269614	46
"Male_Juvenile"	0.2571702	46
"Female_Chick"	0.531585187765051	46
"Male_Chick"	0.524872708941248	46
"Female_Adult"	0.6597126	47
"Male_Adult"	0.6832305	47
"Female_Juvenile"	0.1432069	47
"Male_Juvenile"	0.2251781	47
"Female_Chick"	0.494589849142539	47
"Male_Chick"	0.527726063862968	47
"Female_Adult"	0.6777775	48
"Male_Adult"	0.7039553	48
"Female_Juvenile"	0.1382959	48
"Male_Juvenile"	0.23132	48
"Female_Chick"	0.476540050789545	48
"Male_Chick"	0.555820508218835	48
"Female_Adult"	0.707264	49
"Male_Adult"	0.6989267	49
"Female_Juvenile"	0.1426686	49
"Male_Juvenile"	0.1980357	49
"Female_Chick"	0.495835272916408	49
"Male_Chick"	0.52241994257682	49
"Female_Adult"	0.6637112	50
"Male_Adult"	0.6187214	50
"Female_Juvenile"	0.1289883	50
"Male_Juvenile"	0.2200835	50
"Female_Chick"	0.509494128385615	50
"Male_Chick"	0.510190034557128	50
"Female_Adult"	0.6677536	51
"Male_Adult"	0.7080414	51
"Female_Juvenile"	0.1599034	51
"Male_Juvenile"	0.1961929	51
"Female_Chick"	0.488995189319956	51
"Male_Chick"	0.538825587821307	51
"Female_Adult"	0.7097699	52
"Male_Adult"	0.6360279	52
"Female_Juvenile"	0.1218559	52
"Male_Juvenile"	0.2348985	52
"Female_Chick"	0.489961950785861	52
"Male_Chick"	0.547216304618904	52
"Female_Adult"	0.6857294	53
"Male_Adult"	0.7274008	53
"Female_Juvenile"	0.1906588	53
"Male_Juvenile"	0.176087	53
"Female_Chick"	0.49698102176923	53
"Male_Chick"	0.497983740003854	53
"Female_Adult"	0.6463152	54
"Male_Adult"	0.6821224	54
"Female_Juvenile"	0.1635677	54
"Male_Juvenile"	0.2265075	54
"Female_Chick"	0.518463858359262	54
"Male_Chick"	0.574107633903105	54
"Female_Adult"	0.6866912	55
"Male_Adult"	0.6794122	55
"Female_Juvenile"	0.1507475	55
"Male_Juvenile"	0.2463497	55
"Female_Chick"	0.44549208138587	55
"Male_Chick"	0.514228609067859	55
"Female_Adult"	0.6913928	56
"Male_Adult"	0.7240029	56
"Female_Juvenile"	0.1897928	56
"Male_Juvenile"	0.2171636	56
"Female_Chick"	0.472122830326496	56
"Male_Chick"	0.550419245489852	56
"Female_Adult"	0.6828877	57
"Male_Adult"	0.6926243	57
"Female_Juvenile"	0.1713566	57
"Male_Juvenile"	0.2202455	57
"Female_Chick"	0.472592866931641	57
"Male_Chick"	0.536705269327205	57
"Female_Adult"	0.73731	58
"Male_Adult"	0.7023212	58
"Female_Juvenile"	0.1400943	58
"Male_Juvenile"	0.2029256	58
"Female_Chick"	0.46469676699953	58
"Male_Chick"	0.466609462468745	58
"Female_Adult"	0.6962491	59
"Male_Adult"	0.6778256	59
